?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0024653>	"MESH:D012888"
<http://purl.obolibrary.org/obo/MONDO_0024653>	"ICD9:239.2"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"NCIT:C34376"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"EFO:0005558"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"SCTID:61261009"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"ICD10CM:D55-D59"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"MESH:D000743"
<http://purl.obolibrary.org/obo/MONDO_0003664>	"DOID:583"
<http://purl.obolibrary.org/obo/MONDO_0003205>	"UMLS:C1335748"
<http://purl.obolibrary.org/obo/MONDO_0003205>	"DOID:4918"
<http://purl.obolibrary.org/obo/MONDO_0003205>	"NCIT:C6143"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"MedDRA:10030155"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"EFO:0002916"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"NCIT:C3513"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"GARD:6383"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"Orphanet:70482"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"DOID:1107"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"UMLS:C0152018"
<http://purl.obolibrary.org/obo/MONDO_0019086>	"SCTID:372138000"
<http://purl.obolibrary.org/obo/MONDO_0006709>	"UMLS:C0009442"
<http://purl.obolibrary.org/obo/MONDO_0006709>	"DOID:4608"
<http://purl.obolibrary.org/obo/MONDO_0006709>	"MESH:D003138"
<http://purl.obolibrary.org/obo/MONDO_0006709>	"SCTID:126857009"
<http://purl.obolibrary.org/obo/MONDO_0006709>	"EFO:1000876"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"SCTID:156370009"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"DOID:9008"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"NCIT:C61277"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"ICD9:696.0"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"MESH:D015535"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"UMLS:C0003872"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"EFO:0003778"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"OMIM:607507"
<http://purl.obolibrary.org/obo/MONDO_0011849>	"Orphanet:40050"
<http://purl.obolibrary.org/obo/MONDO_0021118>	"NCIT:C3141"
<http://purl.obolibrary.org/obo/MONDO_0021118>	"ONCOTREE:BOWEL"
<http://purl.obolibrary.org/obo/MONDO_0021118>	"SCTID:126769007"
<http://purl.obolibrary.org/obo/MONDO_0021118>	"DOID:4610"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"GARD:20487"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"EFO:1000172"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"SCTID:254886006"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"NCIT:C4028"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"ICD10CM:C53.0"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"DOID:3744"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"Orphanet:213767"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"ONCOTREE:CESC"
<http://purl.obolibrary.org/obo/MONDO_0006143>	"UMLS:C0279671"
<http://purl.obolibrary.org/obo/MONDO_0004784>	"UMLS:C0155877"
<http://purl.obolibrary.org/obo/MONDO_0004784>	"DOID:9415"
<http://purl.obolibrary.org/obo/MONDO_0004784>	"ICD9:493.0"
<http://purl.obolibrary.org/obo/MONDO_0004784>	"SCTID:389145006"
<http://purl.obolibrary.org/obo/MONDO_0021228>	"NCIT:C4869"
<http://purl.obolibrary.org/obo/MONDO_0021228>	"Orphanet:36414"
<http://purl.obolibrary.org/obo/MONDO_0002156>	"MESH:D005184"
<http://purl.obolibrary.org/obo/MONDO_0002156>	"SCTID:128134005"
<http://purl.obolibrary.org/obo/MONDO_0002156>	"NCIT:C26771"
<http://purl.obolibrary.org/obo/MONDO_0002156>	"UMLS:C0015556"
<http://purl.obolibrary.org/obo/MONDO_0002156>	"DOID:1962"
<http://purl.obolibrary.org/obo/MONDO_0021345>	"NCIT:C9466"
<http://purl.obolibrary.org/obo/MONDO_0021345>	"SCTID:449254004"
<http://purl.obolibrary.org/obo/MONDO_0001933>	"UMLS:C0271633"
<http://purl.obolibrary.org/obo/MONDO_0001933>	"ICD9:251"
<http://purl.obolibrary.org/obo/MONDO_0001933>	"DOID:1428"
<http://purl.obolibrary.org/obo/MONDO_0001933>	"SCTID:17346000"
<http://purl.obolibrary.org/obo/MONDO_0001933>	"NCIT:C27067"
<http://purl.obolibrary.org/obo/MONDO_0015062>	"NCIT:C95871"
<http://purl.obolibrary.org/obo/MONDO_0015062>	"UMLS:C3272399"
<http://purl.obolibrary.org/obo/MONDO_0015062>	"ONCOTREE:SWDNET"
<http://purl.obolibrary.org/obo/MONDO_0024270>	"MESH:D007411"
<http://purl.obolibrary.org/obo/MONDO_0024270>	"UMLS:C0021832"
<http://purl.obolibrary.org/obo/MONDO_0024318>	"MESH:D020805"
<http://purl.obolibrary.org/obo/MONDO_0024318>	"ICD10CM:A80-A89"
<http://purl.obolibrary.org/obo/MONDO_0024318>	"SCTID:302810003"
<http://purl.obolibrary.org/obo/MONDO_0024318>	"ICD10WHO:A80-A89"
<http://purl.obolibrary.org/obo/MONDO_0024318>	"UMLS:C0348165"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"DOID:11476"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"ICD10CM:M81"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"SCTID:64859006"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"OMIM:166710"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"ICD9:733.0"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"MESH:D010024"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"NCIT:C3298"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"EFO:0003882"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"ICD9:733.00"
<http://purl.obolibrary.org/obo/MONDO_0005298>	"ICD9:733.09"
